"filename", "language", "Java", "XML", "Batch", "HTML", "Java Properties", "JavaScript", "CSS", "comment", "blank", "total"
"/Users/saugatsingh/app/src/main/resources/static/js/login.js", "JavaScript", 0, 0, 0, 0, 0, 59, 0, 0, 12, 71
"/Users/saugatsingh/app/src/main/resources/templates/createTest.html", "HTML", 0, 0, 0, 260, 0, 0, 0, 1, 23, 284
"/Users/saugatsingh/app/src/main/resources/templates/createTest2.html", "HTML", 0, 0, 0, 75, 0, 0, 0, 0, 0, 75
"/Users/saugatsingh/app/src/main/resources/templates/forgot.html", "HTML", 0, 0, 0, 51, 0, 0, 0, 0, 2, 53
"/Users/saugatsingh/app/src/main/resources/templates/home.html", "HTML", 0, 0, 0, 249, 0, 0, 0, 16, 19, 284
"/Users/saugatsingh/app/src/main/resources/templates/login-notused.html", "HTML", 0, 0, 0, 60, 0, 0, 0, 0, 6, 66
"/Users/saugatsingh/app/src/main/resources/templates/login.html", "HTML", 0, 0, 0, 71, 0, 0, 0, 0, 6, 77
"/Users/saugatsingh/app/src/main/resources/templates/register-admin.html", "HTML", 0, 0, 0, 73, 0, 0, 0, 3, 5, 81
"/Users/saugatsingh/app/src/main/resources/templates/register.html", "HTML", 0, 0, 0, 75, 0, 0, 0, 3, 7, 85
"/Users/saugatsingh/app/src/main/resources/templates/reset.html", "HTML", 0, 0, 0, 52, 0, 0, 0, 0, 2, 54
"/Users/saugatsingh/app/src/test/java/com/kjlc/app/AppApplicationTests.java", "Java", 9, 0, 0, 0, 0, 0, 0, 0, 5, 14
"Total", "-", 530, 85, 102, 966, 7, 107, 540, 124, 373, 2834
