"filename", "language", "XML", "Batch", "Java Properties", "HTML", "CSS", "Java", "JavaScript", "comment", "blank", "total"
"/Users/saugatsingh/app/src/main/resources/static/css/dashboard.rtl.css", "CSS", 0, 0, 0, 0, 66, 0, 0, 6, 17, 89
"/Users/saugatsingh/app/src/main/resources/static/css/login.css", "CSS", 0, 0, 0, 0, 69, 0, 0, 0, 15, 84
"/Users/saugatsingh/app/src/main/resources/static/css/login_.css", "CSS", 0, 0, 0, 0, 155, 0, 0, 0, 8, 163
"/Users/saugatsingh/app/src/main/resources/static/css/register.css", "CSS", 0, 0, 0, 0, 154, 0, 0, 0, 7, 161
"/Users/saugatsingh/app/src/main/resources/static/js/dashboard.js", "JavaScript", 0, 0, 0, 0, 0, 0, 47, 3, 4, 54
"/Users/saugatsingh/app/src/main/resources/static/js/login.js", "JavaScript", 0, 0, 0, 0, 0, 0, 59, 0, 12, 71
"/Users/saugatsingh/app/src/main/resources/templates/createTest.html", "HTML", 0, 0, 0, 260, 0, 0, 0, 1, 23, 284
"/Users/saugatsingh/app/src/main/resources/templates/forgot.html", "HTML", 0, 0, 0, 51, 0, 0, 0, 0, 2, 53
"/Users/saugatsingh/app/src/main/resources/templates/home.html", "HTML", 0, 0, 0, 249, 0, 0, 0, 16, 19, 284
"/Users/saugatsingh/app/src/main/resources/templates/login.html", "HTML", 0, 0, 0, 71, 0, 0, 0, 0, 6, 77
"/Users/saugatsingh/app/src/main/resources/templates/register.html", "HTML", 0, 0, 0, 75, 0, 0, 0, 3, 7, 85
"/Users/saugatsingh/app/src/main/resources/templates/reset.html", "HTML", 0, 0, 0, 52, 0, 0, 0, 0, 2, 54
"/Users/saugatsingh/app/src/main/resources/templates/test-2.html", "HTML", 0, 0, 0, 107, 0, 0, 0, 0, 16, 123
"/Users/saugatsingh/app/src/main/resources/templates/test-3.html", "HTML", 0, 0, 0, 38, 0, 0, 0, 0, 4, 42
"/Users/saugatsingh/app/src/main/resources/templates/test.html", "HTML", 0, 0, 0, 28, 0, 0, 0, 0, 4, 32
"/Users/saugatsingh/app/src/main/resources/templates/testView.html", "HTML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"/Users/saugatsingh/app/src/test/java/com/kjlc/app/AppApplicationTests.java", "Java", 0, 0, 0, 0, 0, 9, 0, 0, 5, 14
"Total", "-", 85, 102, 7, 940, 540, 674, 107, 122, 432, 3009
