"filename", "language", "XML", "Java Properties", "Batch", "Java", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"/Users/saugatsingh/Documents/Projects/app/src/main/java/com/kjlc/app/utils/Builder.java", "Java", 0, 0, 0, 69, 0, 0, 0, 0, 14, 83
"/Users/saugatsingh/Documents/Projects/app/src/main/java/com/kjlc/app/utils/ResultUtils.java", "Java", 0, 0, 0, 29, 0, 0, 0, 1, 9, 39
"/Users/saugatsingh/Documents/Projects/app/src/main/resources/application.properties", "Java Properties", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/saugatsingh/Documents/Projects/app/src/main/resources/static/assets/brand/bootstrap-logo-white.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/saugatsingh/Documents/Projects/app/src/main/resources/static/assets/brand/bootstrap-logo.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/saugatsingh/Documents/Projects/app/src/main/resources/static/assets/dist/css/bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 2, 0, 4, 0, 6
"/Users/saugatsingh/Documents/Projects/app/src/main/resources/static/assets/dist/css/bootstrap.rtl.min.css", "CSS", 0, 0, 0, 0, 0, 2, 0, 4, 0, 6
"/Users/saugatsingh/Documents/Projects/app/src/main/resources/static/assets/dist/js/bootstrap.bundle.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 6, 0, 7
"/Users/saugatsingh/Documents/Projects/app/src/main/resources/static/css/CreateTest.css", "CSS", 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"/Users/saugatsingh/Documents/Projects/app/src/main/resources/static/css/dashboard.css", "CSS", 0, 0, 0, 0, 0, 140, 0, 14, 15, 169
"/Users/saugatsingh/Documents/Projects/app/src/main/resources/static/css/dashboard.rtl.css", "CSS", 0, 0, 0, 0, 0, 66, 0, 6, 17, 89
"/Users/saugatsingh/Documents/Projects/app/src/main/resources/static/css/login.css", "CSS", 0, 0, 0, 0, 0, 69, 0, 0, 14, 83
"/Users/saugatsingh/Documents/Projects/app/src/main/resources/static/css/login_.css", "CSS", 0, 0, 0, 0, 0, 155, 0, 0, 8, 163
"/Users/saugatsingh/Documents/Projects/app/src/main/resources/static/css/register.css", "CSS", 0, 0, 0, 0, 0, 154, 0, 0, 7, 161
"/Users/saugatsingh/Documents/Projects/app/src/main/resources/static/js/dashboard.js", "JavaScript", 0, 0, 0, 0, 0, 0, 47, 3, 4, 54
"/Users/saugatsingh/Documents/Projects/app/src/main/resources/static/js/login.js", "JavaScript", 0, 0, 0, 0, 0, 0, 59, 0, 12, 71
